Codice          |Cod.commerciale   |Descrizione                             |Costruttore |Descrizione supplementare

HHINV0_U0001    |160-AA08NSF1      |INVERTER SERIE 160SSC 220V 1,5KW        |ALLEN BRADLE|

HHINV0_U0002    |1336S-BRF30AN-IT  |INVERTER SERIE 1336 380V 2,2KW          |ALLEN BRADLE|

HHINV0_U0003    |1336S-BRF05AN-IT  |INVERTER SERIE 1336 380V 0,37KW         |ALLEN BRADLE|

HHINV0_U0005    |160-AA04NSF1      |INVERTER SERIE 160SSC 220V 0,75KW       |ALLEN BRADLE|

HHINV0_U0006    |175H7242          |INVERTER VLT 3003 1,5KW 380/415VAC IP 00|DANFOSS     |

HHINV0_U0007    |175H7246          |INVERTER VLT 3004 2,2KW 380/415VAC IP 00|DANFOSS     |

HHINV0_U0008    |175H7264          |INVERTER VLT 3006 4KW 380/415VAC IP 00  |DANFOSS     |

HHINV0_U0009    |175H7238          |INVERTER VLT 3002 1,1KW 380/415VAC IP 00|DANFOSS     |

HHINV0_U0010    |8602              |INVERTER 2,2 KW                         |LENZE       |

HHINV0_U0011    |ATV16-U29N4       |INVERTER 2,2 KW                         |TELEMECANIQU|

HHINV0_U0013    |1305-AA12A-IT     |INVERTER 220VAC TRIFASE 2,2KW           |ALLEN BRADLE|

HHINV0_U0014    |160-BA04NSF1      |INVERTER 380VAC TRIFASE 1,5 KW          |ALLEN BRADLE|

HHINV0_U0017    |1333-BAA          |INVERTER 220V 2.2KW                     |ALLEN BRADLE|

HHINV0_U0018    |1333-CAB          |INVERTER 380V 4KW                       |ALLEN BRADLE|

HHINV0_U0019    |175H1733          |INVERTER VLT3003 440/500V 1.5KW IP 00   |DANFOSS     |

HHINV0_U0020    |175H1741          |INVERTER VLT3006 440/500V 4KW IP 00     |DANFOSS     |

HHINV0_U0021    |160-BA02NSF1      |INVERTER 380/460V 0.55KW                |ALLEN BRADLE|

HHINV0_U0022    |1305-BA09A-IT     |INVERTER 380V 4.0KW                     |ALLEN BRADLE|

HHINV0_U0023    |CDII 550          |INVERTER 5.5KW 380V                     |CON.TECHNIQU|

HHINV0_U0024    |175H4135          |INVERTER VLT3003 1.5KW 220V IP00        |DANFOSS     |

HHINV0_U0025    |DIN3380075B       |INVERTER TRIFASE 2.8KVA 380-480V        |CON.TECHNIQU|

HHINV0_U0026    |DIN3380110B       |INVERTER TRIFASE 3.3KVA 380-480V        |CON.TECHNIQU|

HHINV0_U0027    |DIN3380150B       |INVERTER TRIFASE 3.8KVA 380-480V        |CON.TECHNIQU|

HHINV0_U0028    |DIN3380220B       |INVERTER TRIFASE 5.9KVA 380-480V        |CON.TECHNIQU|

HHINV0_U0029    |ATV-18U41N4       |INVERTER 2.2KW 380-460V 50/60HZ         |TELEMECANIQU|

HHINV0_U0030    |160-BA04-NPS1-P1  |INVERTER 0,75KW 400V CON TASTIERA PROG. |ALLEN BRADLE|

HHINV0_U0031    |ATV-58HU54N4      |INVERTER ATV58 3KW 380-500V 3F          |TELEMECANIQU|

HHINV0_U0032    |ATV-58HU29N4      |INVERTER 1,5KW 400V CON TASTIERA PROGR. |TELEMECANIQU|

HHINV0_U0033    |ATV-58HU18N4      |INVERTER 0,75KW 400V CON TASTIERA PROGR.|TELEMECANIQU|

HHINV0_U0035    |195H4001          |INVERTER VLT2020 0.75KW 380-460V IP00   |DANFOSS     |

HHINV0_U0036    |FR-S520S-0.4K-EC  |INVERTER 0,4KW                          |MITSUBISHI  |

HHINV0_U0037    |FR-S520S-1.5K-EC  |INVERTER 1,5KW                          |MITSUBISHI  |

HHINV0_U0038    |FS520S-0.75       |FILTRO PER FR-S520S 0.1/0.75KW          |MITSUBISHI  |

HHINV0_U0039    |FS520S-1.5        |FILTRO PER FR-S520S 1.5KW               |MITSUBISHI  |

HHINV0_U0040    |VW3-A16101        |MODULO DI PROGRAMMAZIONE INVERTER       |TELEMECANIQU|

HHINV0_U0041    |160-P1            |MODULO DI PROGRAMMAZIONE INVERTER       |ALLEN BRADLE|

HHINV0_U0042    |1201-HA2          |MODULO DI PROGRAMMAZIONE INVERTER       |ALLEN BRADLE|

HHINV0_U0043    |1305-RBF-12-C     |FILTRO DI RETE PER 1305                 |ALLEN BRADLE|

HHINV0_U0044    |160-LFB1          |FILTRO DI RETE PER 160SSC               |ALLEN BRADLE|

HHINV0_U0045    |1336S-A007AA-IT   |INVERTER SERIE 1336 220V 5,5KW          |ALLEN BRADLE|

HHINV0_U0046    |1305-BA01A-IT     |INVERTER 0,37KW 380-480VAC              |ALLEN BRADLE|

HHINV0_U0050    |6SE3215-2BB40     |INVERTER 1,1 KW 220V 1F                 |SIEMENS     |

HHINV0_U0051    |6SE3212-1BA40     |INVERTER 0,37 KW 220V 1F                |SIEMENS     |

HHINV0_U0052    |20AB2P2A0AYNANC0  |INVERTER POWERFLEX70 208-240V 3F 0,37KW |ALLEN BRADLE|

HHINV0_U0053    |20AB4P2A0AYNANC0  |INVERTER POWERFLEX70 208-240V 3F 0,75KW |ALLEN BRADLE|

HHINV0_U0054    |20AB6P8A0AYNANC0  |INVERTER POWERFLEX70 208-240V 3F 1,5KW  |ALLEN BRADLE|

HHINV0_U0055    |20AB9P6A0AYNANC0  |INVERTER POWERFLEX70 208-240V 3F 2,2KW  |ALLEN BRADLE|

HHINV0_U0056    |20AB015A0AYNANC0  |INVERTER POWERFLEX70 208-240V 3F 3,7KW  |ALLEN BRADLE|

HHINV0_U0057    |20AB022A0AYNANC0  |INVERTER POWERFLEX70 208-240V 3F 5,5KW  |ALLEN BRADLE|

HHINV0_U0058    |20AB028A0AYNANC0  |INVERTER POWERFLEX70 208-240V 3F 7,5KW  |ALLEN BRADLE|

HHINV0_U0059    |20-HIM-A3         |TASTIERA PER INVERTER POWERFLEX 70-700  |ALLEN BRADLE|

HHINV0_U0060    |1336-L5           |INTERFACCIA PER INVERTER 1336           |ALLEN BRADLE|

HHINV0_U0061    |3G3EV-A4004-CE    |INVERTER SERIE 3G3EV 0,55 KW 380/460V 3F|OMRON       |

HHINV0_U0062    |3G3EV-A4015MA-CUE |INVERTER SERIE 3G3EV 1,5KW 380/460V 3F  |OMRON       |

HHINV0_U0063    |3G3EV-PJV0P120E   |TASTIERA PER INVERTER SERIE 3G3EV       |OMRON       |

HHINV0_U0064    |3G3EV-A4004MA-CUE |INVERTER SERIE 3G3EV 0,55KW 380/460V 3F |OMRON       |

HHINV0_U0065    |3G3EV-A4007MA-CUE |INVERTER SERIE 3G3EV 0,75KW 380/460V 3F |OMRON       |

HHINV0_U0066    |3G3MV-A4002       |INVERTER SERIE 3G3MV 0,37KW 380/460V 3F |OMRON       |

HHINV0_U0067    |3G3MV-A4007       |INVERTER SERIE 3G3MV 1,1KW 380/460V 3F  |OMRON       |

HHINV0_U0068    |3G3MV-A4015       |INVERTER SERIE 3G3MV 1,5KW 380/460V 3F  |OMRON       |

HHINV0_U0069    |3G3MV-A4075       |INVERTER SERIE 3G3MV 7,5KW 380/460V 3F  |OMRON       |

HHINV0_U0070    |VW3-A58102L2      |TASTIERA PROGRAMM.INVERTER SERIE ATV58  |TELEMECANIQU|

HHINV0_U0071    |CIMR V7AZ41P5     |INVERTER SERIE V7AZ 1,5KW 400V          |OMRON       |SPECIFICHE 41P50

HHINV0_U0080    |FRU 120 0,4 K     |INVERTER MONOFASE 220V 0,4 KW           |MITSUBISHI  |

HHINV0_U0081    |FRU 120 1,5 KJ    |INVERTER TRIFASE 220V 1,5 KW            |MITSUBISHI  |

HHINV0_U0082    |FRA 024S EC 1,5K  |INVERTER TRIFASE 220V 1,5 KW            |MITSUBISHI  |

HHINV0_U0090    |UNI 1403          |INVERTER 3F/1,5KW/400V SERIE UNIDRIVE   |CON.TECHNIQU|

HHINV0_U0091    |UNI 1405          |INVERTER 3F/4KW/400V SERIE UNIDRIVE     |CON.TECHNIQU|

HHINV0_U0092    |31C040-503-4-00   |INVERTER 4KW 3X380-500V SERIE MOVITRAC  |SEW EURODRIV|

HHINV0_U0093    |FBG-31C           |TASTIERA PER INVERTER SERIE MOVITRAC    |SEW EURODRIV|

HHINV0_U0094    |20AD8P0A0AYNNNC0  |INVERTER POWERFLEX70 480V 3F 3.7KW      |ALLEN BRADLE|

HHINV0_U0095    |178B3287          |INVERTER VLT2800 3KW CHOPPER FRENATURA  |DANFOSS     |SOSTITUITO DA HHINV0_U0521

HHINV0_U0096    |175U1914          |RESISTENZA DI FRENATURA PER INVERTER    |DANFOSS     |

HHINV0_U0100    |175Z0004          |INVERTER VLT5001 0.75KW 200-240V IP00   |DANFOSS     |

HHINV0_U0101    |175Z0010          |INVERTER VLT5002 1.1KW 200-240V IP00    |DANFOSS     |

HHINV0_U0102    |175Z0016          |INVERTER VLT5003 1.5KW 200-240V IP00    |DANFOSS     | 

HHINV0_U0103    |175Z0022          |INVERTER VLT5004 2.2KW 200-240V IP00    |DANFOSS     |

HHINV0_U0104    |175Z0028          |INVERTER VLT5005 3.0KW 200-240V IP00    |DANFOSS     |

HHINV0_U0105    |175Z0167          |INVERTER VLT5006 3.7KW 200-240V IP00    |DANFOSS     |

HHINV0_U0106    |175Z0034          |INVERTER VLT5001 0.75KW 380-500V IP00   |DANFOSS     |

HHINV0_U0107    |175Z0040          |INVERTER VLT5002 1.1KW 380-500V IP00    |DANFOSS     |

HHINV0_U0108    |175Z0046          |INVERTER VLT5003 1.5KW 380-500V IP00    |DANFOSS     |

HHINV0_U0109    |175Z0052          |INVERTER VLT5004 2.2KW 380-500V IP00    |DANFOSS     |

HHINV0_U0110    |175Z0058          |INVERTER VLT5005 3.0KW 380-500V IP00    |DANFOSS     |

HHINV0_U0111    |175Z0064          |INVERTER VLT5006 3.7KW 380-500V IP00    |DANFOSS     |

HHINV0_U0112    |175Z0070          |INVERTER VLT5008 5.5KW 380-500V IP00    |DANFOSS     |

HHINV0_U0113    |175Z0076          |INVERTER VLT5011 7.5KW 380-500V IP00    |DANFOSS     |

HHINV0_U0114    |3G3HV-A2075-E     |INVERTER 7.5KW 200-230V                 |OMRON       |

HHINV0_U0116    |3G3MV-A4022       |INVERTER SERIE 3G3MV 2,2KW 380/460V 3F  |OMRON       |

HHINV0_U0117    |178B2162          |INVERTER VLT2805 0,55KW 380/480V 3F     |DANFOSS     |SOSTITUITO DA HHINV0_U0517

HHINV0_U0118    |178B1434          |INVERTER VLT2807 0,75KW 380/480V 3F     |DANFOSS     |SOSTITUITO DA HHINV0_U0518

HHINV0_U0119    |178B1435          |INVERTER VLT2815 1,5KW 380/480V 3F      |DANFOSS     |SOSTITUITO DA HHINV0_U0519

HHINV0_U0120    |178B1466          |INVERTER VLT2822 2,2KW 380/480V 3F      |DANFOSS     |SOSTITUITO DA HHINV0_U0520

HHINV0_U0121    |178B1467          |INVERTER VLT2830 3KW 380/480V 3F        |DANFOSS     |SOSTITUITO DA HHINV0_U0521

HHINV0_U0122    |178B2389          |INVERTER VLT2840 4KW 380/480V 3F        |DANFOSS     |SOSTITUITO DA HHINV0_U0522

HHINV0_U0123    |195N0003          |INVERTER VLT2803 0,37KW 200/240V 3F     |DANFOSS     |SOSTITUITO DA HHINV0_U0523

HHINV0_U0124    |195N0015          |INVERTER VLT2805 0,55KW 200/240V 1F     |DANFOSS     |

HHINV0_U0125    |195N0027          |INVERTER VLT2807 0,75KW 200/240V 3F     |DANFOSS     |SOSTITUITO DA HHINV0_U0525

HHINV0_U0126    |195N0049          |INVERTER VLT2815 1,5KW 200/240V 3F      |DANFOSS     |SOSTITUITO DA HHINV0_U0526

HHINV0_U0127    |195N0063          |INVERTER VLT2822 2,2KW 200/240V 3F      |DANFOSS     |SOSTITUITO DA HHINV0_U0527

HHINV0_U0128    |195N0075          |INVERTER VLT2840 4KW 200/240V 3F        |DANFOSS     |SOSTITUITO DA HHINV0_U0528

HHINV0_U0129    |175N0131          |TASTIERINO UNIVERSALE DI PROGRAMMAZIONE |DANFOSS     |

HHINV0_U0130    |ATV28-HU29N4      |INVERTER ATV28 1,5KW 3F 380/500V 50/60HZ|TELEMECANIQU|

HHINV0_U0131    |ATV28-HU41N4      |INVERTER ATV28 2,2KW 3F 380/500V 50/60HZ|TELEMECANIQU|

HHINV0_U0132    |1336F-BRF30-AE-IT |INVERTER 1336F 2,2KW 3F 380/480V 50/60HZ|ALLEN BRADLE|

HHINV0_U0133    |1336F-BRF50-AE-IT |INVERTER 1336F 4KW 3F 380/480V 50/60HZ  |ALLEN BRADLE|

HHINV0_U0134    |1201-HAS2         |TASTIERA PROGRAMM.E CONTROLLO PER 1336F |ALLEN BRADLE|

HHINV0_U0135    |1336F-BRF20-AE-IT |INVERTER 1336F 1,5KW 3F 380/480V 50/60HZ|ALLEN BRADLE|

HHINV0_U0136    |1336F-BRF75-AE-IT |INVERTER 1336F 5,5KW 3F 380/480V 50/60HZ|ALLEN BRADLE|

HHINV0_U0137    |1336F-BRF05-AE-IT |INVERTER 1336F 0,37KW 3F 380/480 50/60HZ|ALLEN BRADLE|

HHINV0_U0138    |09.F4C3D-3420     |INVERTER 1,5KW 380-480V 3F CON FILTRO   |KEB         |

HHINV0_U0139    |E82EV551_4B       |INVERTER SERIE 8200VECTOR 0,55KW 400V   |LENZE       |

HHINV0_U0140    |E82ZBC            |TASTIERA PER INVERTER SERIE 8200VECTOR  |LENZE       |

HHINV0_U0141    |E82ZAFS           |INTERFACCIA X INVERTER SERIE 8200VECTOR |LENZE       |

HHINV0_U0142    |EZN31500H003      |FILTRO RFI X INVERTER SERIE 8200VECTOR  |LENZE       |

HHINV0_U0143    |ATV28-HU29M2      |INVERTER ATV28 1,5KW 200/240V 50/60HZ   |TELEMECANIQU|

HHINV0_U0144    |3G3JV-A4015       |INVERTER SERIE 3G3JV 1,5KW 380/460V 3F  |OMRON       |

HHINV0_U0145    |20AC5P0A0AYNANC0  |INVERTER POWERFLEX70 480V 3F 2,2KW      |ALLEN BRADLE|

HHINV0_U0146    |20AC011A0AYNANC0  |INVERTER POWERFLEX70 480V 3F 5,5KW      |ALLEN BRADLE|

HHINV0_U0147    |20AC3P4A0AYNANC0  |INVERTER POWERFLEX70 480V 3F 1,5KW      |ALLEN BRADLE|

HHINV0_U0148    |195N1085          |INVERTER VLT2855 5,5KW 380/480V 3F      |DANFOSS     |SOSTITUITO DA HHINV0_U0548

HHINV0_U0149    |22BB8P0N104       |INVERTER POWERFLEX4 200-240V 3F 1,5KW   |ALLEN BRADLE|

HHINV0_U0150    |20AC8P7A0AYNANC0  |INVERTER POWERFLEX70 480V 3F 4KW        |ALLEN BRADLE|

HHINV0_U0151    |ATV71-HU30N4      |INVERTER 3KW 400V CON TASTIERA PROGR.   |TELEMECANIQU|

HHINV0_U0152    |ATV71-HU15N4      |INVERTER 1,5KW 400V CON TASTIERA PROGR. |TELEMECANIQU|

HHINV0_U0153    |195N1097          |INVERTER VLT2875 7,5KW 380/480V 3F      |DANFOSS     |SOSTITUITO DA HHINV0_U0553

HHINV0_U0154    |195N1003          |INVERTER VLT2805 0,55KW 380/480V        |DANFOSS     |FILTRO R1 NO BUS VLT2805PT4B20STR1DBF00A00C0

HHINV0_U0155    |195N1043          |INVERTER VLT2815 1,5KW 380/480V         |DANFOSS     |FILTRO R1 PROFIBUS VLT2815PT4B20STR1DBF10A00

HHINV0_U0156    |20AC2P1A0AYNANC0  |INVERTER POWERFLEX70 480V 3F 0,75KW     |ALLEN BRADLE|

HHINV0_U0160    |6SE6400-0BP00-0AA1|PANNELLO OPERATORE PER INVERTER         |SIEMENS     |PER MICROMASTER M440

HHINV0_U0161    |6SE6400-1PB00-0AA0|MODULO PROFIBUS PER INVERTER            |SIEMENS     |PER MICROMASTER M440

HHINV0_U0162    |6SE6400-2FA00-6AD0|FILTRO CLASSE A MM12/275/237/3150/3     |SIEMENS     |PER MICROMASTER M440 FINO A 1,5KW

HHINV0_U0163    |6SE6440-2UD15-5AA1|INVERTER MM440 0,55KW 400V 3F           |SIEMENS     |SENZA FILTRO EMC

HHINV0_U0164    |6SE6440-2UD17-5AA1|INVERTER MM440 0,75KW 400V 3F           |SIEMENS     |SENZA FILTRO EMC

HHINV0_U0165    |6SE6440-2UD21-5AA1|INVERTER MM440 1,5KW 400V 3F            |SIEMENS     |SENZA FILTRO EMC

HHINV0_U0166    |6ES6440-2AD22-2BA1|INVERTER MM440 2,2KW 400V 3F            |SIEMENS     |CON FILTRO EMC CLASSE A INTEGRATO

HHINV0_U0167    |6ES6440-2AD23-0BA1|INVERTER MM440 3KW 400V 3F              |SIEMENS     |CON FILTRO EMC CLASSE A INTEGRATO

HHINV0_U0168    |6ES6440-2AD24-0BA1|INVERTER MM440 4KW 400V 3F              |SIEMENS     |CON FILTRO EMC CLASSE A INTEGRATO

HHINV0_U0169    |6ES6440-2AD25-5CA1|INVERTER MM440 5,5KW 400V 3F            |SIEMENS     |CON FILTRO EMC CLASSE A INTEGRATO

HHINV0_U0170    |6ES6440-2AD27-5CA1|INVERTER MM440 7,5KW 400V 3F            |SIEMENS     |CON FILTRO EMC CLASSE A INTEGRATO

HHINV0_U0180    |FR-D720S-070-EC   |INVERTER MONOFASE 200-240V 1,5KW        |MITSUBISHI  |CODICE 214193

HHINV0_U0181    |FR-D720S-025-EC   |INVERTER MONOFASE 200-240V 0,4KW        |MITSUBISHI  |CODICE 214191

HHINV0_U0190    |VZA21P5BAA        |INVERTER V1000 1,5KW 200-240V           |OMRON       |CODICE 3G3Z1375H

HHINV0_U0200    |130B1107          |TASTIERINO GRAFICO PER FC300            |DANFOSS     |

HHINV0_U0201    |131B0094          |FC302 PK55T5E20H2X 380/500V 0,55KW      |DANFOSS     |

HHINV0_U0202    |131B0095          |FC302 PK75T5E20H2X 380/500V 0,75KW      |DANFOSS     |

HHINV0_U0203    |131B0097          |FC302 P1K5T5E20H2X 380/500V 1,5KW       |DANFOSS     |

HHINV0_U0204    |131B0098          |FC302 P2K2T5E20H2X 380/500V 2,2KW       |DANFOSS     |

HHINV0_U0205    |131B0099          |FC302 P3K0T5E20H2X 380/500V 3KW         |DANFOSS     |

HHINV0_U0206    |131B0100          |FC302 P4K0T5E20H2X 380/500V 4KW         |DANFOSS     |

HHINV0_U0207    |131B0102          |FC302 P5K5T5E20H2X 380/500V 5,5KW       |DANFOSS     |

HHINV0_U0208    |131B0101          |FC302 P7K5T5E20H2X 380/500V 7,5KW       |DANFOSS     |

HHINV0_U0209    |131B0211          |FC302 PK55T2E20H2 200/240V 0,55KW       |DANFOSS     |

HHINV0_U0210    |131B0282          |FC302 PK75T2E20H2 200/240V 0,75KW       |DANFOSS     |

HHINV0_U0211    |131B0284          |FC302 P1K5T2E20H2 200/240V 1,5KW        |DANFOSS     |

HHINV0_U0212    |131B0285          |FC302 P2K2T2E20H2 200/240V 2,2KW        |DANFOSS     |

HHINV0_U0213    |131B0286          |FC302 P3K0T2E20H2 200/240V 3KW          |DANFOSS     |

HHINV0_U0214    |131B0287          |FC302 P4K0T2E20H2 200/240V 3,7KW        |DANFOSS     |

HHINV0_U0215    |130B1100          |INTERFACCIA PROFIBUS PER FC300          |DANFOSS     |

HHINV0_U0216    |131B0028          |FC302 380/500V 0,75KW FILTRO H1         |DANFOSS     |

HHINV0_U0217    |131B0030          |FC302 380/500V 1,5KW FILTRO H1          |DANFOSS     |

HHINV0_U0218    |131B0021          |FC302 380/500V 3KW FILTRO RFI A1/B      |DANFOSS     |IP20 CON CHOPPER FRENO

HHINV0_U0219    |131B0596          |FC302 525/600V 1,5KW                    |DANFOSS     |

HHINV0_U0220    |131B0183          |FC302 525/600V 2,2KW                    |DANFOSS     |

HHINV0_U0221    |131B0184          |FC302 525/600V 3KW                      |DANFOSS     |

HHINV0_U0222    |131B5156          |FC302 380/500V 5,5KW CON SCHEDA MCO     |DANFOSS     |FC-302P5K5T5E20H2XGXXXXSXXXXAX BXC4XXXD0

HHINV0_U0223    |130B1112          |ADATTATORE 9 POLI PER SCHEDA PROFIBUS   |DANFOSS     |PER INTERFACCIA HHINV0_U0215

HHINV0_U0224    |131B0180          |FC302 525/600V 4KW                      |DANFOSS     |

HHINV0_U0225    |131B0656          |FC302 525/600V 0,75KW                   |DANFOSS     |

HHINV0_U0226    |131F9313          |FC302 P5K5T2E20H2 200/240V 5,5KW        |DANFOSS     |FC-302P5K5T2E20H2XGXXXXSXXXXAXBXCXXXXDX

HHINV0_U0227    |175U1826          |RESISTENZA DI FRENATURA PER INVERTER    |DANFOSS     |18 OHM / 1KW

HHINV0_U0228    |130B1119          |INTERFACCIA ETHERNET IP MCA121 PER FC300|DANFOSS     |

HHINV0_U0230    |20BC2P1A0AYNANC0  |POWERFLEX 700 400V 0,75KW               |ALLEN BRADLE|

HHINV0_U0231    |20BC3P5A0AYNANC0  |POWERFLEX 700 400V 1,5KW                |ALLEN BRADLE|

HHINV0_U0232    |20BC5P0A0AYNANC0  |POWERFLEX 700 400V 2,2KW                |ALLEN BRADLE|

HHINV0_U0233    |20BC8P7A0AYNANC0  |POWERFLEX 700 400V 4KW                  |ALLEN BRADLE|

HHINV0_U0234    |20BC011A0AYNANC0  |POWERFLEX 700 400V 5,5KW                |ALLEN BRADLE|

HHINV0_U0235    |20BC015A0AYNANC0  |POWERFLEX 700 400V 7,5KW                |ALLEN BRADLE|

HHINV0_U0236    |20BB4P2A0AYNBNC0  |POWERFLEX 700 208/240V 0,75KW           |ALLEN BRADLE|

HHINV0_U0237    |20BB6P8A0AYNBNC0  |POWERFLEX 700 208/240V 1,5KW            |ALLEN BRADLE|

HHINV0_U0238    |20BB9P6A0AYNBNC0  |POWERFLEX 700 208/240V 2,2KW            |ALLEN BRADLE|

HHINV0_U0239    |20BB015A0AYNBNC0  |POWERFLEX 700 208/240V 4KW              |ALLEN BRADLE|

HHINV0_U0240    |20BB022A0AYNBNC0  |POWERFLEX 700 208/240V 5,5KW            |ALLEN BRADLE|

HHINV0_U0241    |20BB028A0AYNBNC0  |POWERFLEX 700 208/240V 7,5KW            |ALLEN BRADLE|

HHINV0_U0251    |22B-B8P0N104      |POWERFLEX 40 200/240V 1,5KW             |ALLEN BRADLE|

HHINV0_U0252    |22B-D1P4N104      |POWERFLEX 40 380/480V 0,4KW             |ALLEN BRADLE|

HHINV0_U0253    |22B-D4P0N104      |POWERFLEX 40 380/480V 1,5KW             |ALLEN BRADLE|

HHINV0_U0254    |20-COMM-E         |INTERFACCIA ETHERNET PER POWERFLEX      |ALLEN BRADLE|

HHINV0_U0255    |22B-D2P3N104      |POWERFLEX 40 380/480V 0,75KW            |ALLEN BRADLE|CON PANNELLO OPERATORE 

HHINV0_U0256    |22-RF012-BS       |FILTRO DI RETE PER POWERFLEX 40         |ALLEN BRADLE|

HHINV0_U0257    |22B-B2P3N104      |POWERFLEX 40 200/240V 0,4KW             |ALLEN BRADLE|

HHINV0_U0258    |22B-B5P0N104      |POWERFLEX 40 200/240V 0,75KW            |ALLEN BRADLE|

HHINV0_U0259    |22B-B012N104      |POWERFLEX 40 200/240V 2,2KW             |ALLEN BRADLE|

HHINV0_U0260    |22B-B017N104      |POWERFLEX 40 200/240V 3,7KW             |ALLEN BRADLE|

HHINV0_U0261    |22B-B024N104      |POWERFLEX 40 200/240V 5,5KW             |ALLEN BRADLE|

HHINV0_U0262    |22B-D6P0N104      |POWERFLEX 40 380/480V 2,2KW             |ALLEN BRADLE|

HHINV0_U0263    |22B-D010N104      |POWERFLEX 40 380/480V 4KW               |ALLEN BRADLE|

HHINV0_U0264    |22B-D012N104      |POWERFLEX 40 380/480V 5,5KW             |ALLEN BRADLE|

HHINV0_U0265    |22B-E1P7N104      |POWERFLEX 40 460/600V 0,75KW            |ALLEN BRADLE|

HHINV0_U0266    |22B-E3P0N104      |POWERFLEX 40 460/600V 1,5KW             |ALLEN BRADLE|

HHINV0_U0267    |22B-E4P2N104      |POWERFLEX 40 460/600V 2,2KW             |ALLEN BRADLE|

HHINV0_U0268    |22B-E6P6N104      |POWERFLEX 40 460/600V 4KW               |ALLEN BRADLE|

HHINV0_U0269    |22B-E9P9N104      |POWERFLEX 40 460/600V 5,5KW             |ALLEN BRADLE|

HHINV0_U0270    |22-COMM-E         |INTERFACCIA ETHERNET PER POWERFLEX 40   |ALLEN BRADLE|

HHINV0_U0271    |22B-CCB           |COPERCHIO PER HHINV0_U0270 SU FRAME B   |ALLEN BRADLE|

HHINV0_U0272    |22B-CCC           |COPERCHIO PER HHINV0_U0270 SU FRAME C   |ALLEN BRADLE|

HHINV0_U0273    |22B-B033N104      |POWERFLEX 40 200/240V 7,5KW             |ALLEN BRADLE|

HHINV0_U0274    |22B-D017N104      |POWERFLEX 40 380/480V 7,5KW             |ALLEN BRADLE|

HHINV0_U0280    |DEH11B            |MOVIDRIVE SCHEDA COLLEGAMENTO ENCODER   |SEW EURODRIV|CODICE ORDINAZIONE 08243107

HHINV0_U0281    |DRS11B            |MOVIDRIVE SCHEDA MARCIA SINCRONIZZATA   |SEW EURODRIV|CODICE ORDINAZIONE 08246726

HHINV0_U0282    |DBG60B-01         |MOVIDRIVE TASTIERINO DI PROGRAMMAZIONE  |SEW EURODRIV|CODICE ORDINAZIONE 18204031

HHINV0_U0283    |DIO11B            |MOVIDRIVE SCHEDA I/O                    |SEW EURODRIV|CODICE ORDINAZIONE 08243085

HHINV0_U0284    |USB11A            |MOVIDRIVE CONVERTITORE DI INTERFACCIA   |SEW EURODRIV|CODICE ORDINAZIONE 08248311

HHINV0_U0285    |BW168             |MOVIDRIVE RESISTENZA DI FRENATURA       |SEW EURODRIV|CODICE ORDINAZIONE 0820604X

HHINV0_U0286    |MDX61B0040-5A3-400|MOVIDRIVE INVERTER 4KW 3F 380-500V      |SEW EURODRIV|CODICE ORDINAZIONE 08279608

HHINV0_U0287    |MDX61B0014-5A3-40T|MOVIDRIVE INVERTER 1,5KW 3F 380-500V    |SEW EURODRIV|CODICE ORDINAZIONE 08277370

HHINV0_U0288    |MDX61B0005-5A3-400|MOVIDRIVE INVERTER 0,55KW 3F 380-500V   |SEW EURODRIV|CODICE ORDINAZIONE 08277303

HHINV0_U0289    |DFE13B            |MOVIDRIVE INTERFACCIA ETHERNET IP       |SEW EURODRIV|CODICE ORDINAZIONE 18205658

HHINV0_U0290    |BW090-P52B        |MOVIDRIVE RESISTENZA DI FRENATURA       |SEW EURODRIV|CODICE ORDINAZIONE 08245630

HHINV0_U0291    |DFE33B            |MOVIDRIVE INTERFACCIA ETHERNET IP       |SEW EURODRIV|CODICE ORDINAZIONE 18213464

HHINV0_U0300    |132B0100          |TASTIERINO PER INVERTER SERIE FC51      |DANFOSS     |

HHINV0_U0301    |132F0017          |INVERTER FC51 0,37KW 380/480V 3F        |DANFOSS     |SENZA TASTIERINO

HHINV0_U0302    |132F0018          |INVERTER FC51 0,75KW 380/480V 3F        |DANFOSS     |SENZA TASTIERINO

HHINV0_U0303    |132F0020          |INVERTER FC51 1,5KW 380/480V 3F         |DANFOSS     |SENZA TASTIERINO

HHINV0_U0304    |132F0022          |INVERTER FC51 2,2KW 380/480V 3F         |DANFOSS     |SENZA TASTIERINO

HHINV0_U0305    |132F0024          |INVERTER FC51 3KW 380/480V 3F           |DANFOSS     |SENZA TASTIERINO

HHINV0_U0306    |132F0026          |INVERTER FC51 4KW 380/480V 3F           |DANFOSS     |SENZA TASTIERINO

